t_ms,theta_deg,theta_dot_dps,x_m,x_dot_ms,u_pwm,setpoint_deg,modo
218.0,-0.16,4.0,0.0007,0.0,4.0,0.0,0.0
238.0,-0.11,-0.9,0.0006,0.0,-3.0,0.0,0.0
258.0,-0.15,2.2,0.0006,0.0,1.0,0.0,0.0
278.0,-0.1,1.0,0.0006,0.0,0.0,0.0,0.0
298.0,-0.09,1.9,0.0006,0.0,1.0,0.0,0.0
318.0,-0.03,1.5,0.0005,-0.012,2.0,0.0,0.0
338.0,-0.01,1.4,0.0005,0.0,2.0,0.0,0.0
358.0,0.02,1.0,0.0005,0.0,2.0,0.0,0.0
378.0,0.06,0.9,0.0005,0.0,2.0,0.0,0.0
398.0,0.08,1.1,0.0005,0.0,3.0,0.0,0.0
418.0,0.09,0.4,0.0005,0.0,2.0,0.0,0.0
438.0,0.11,1.2,0.0004,0.0,4.0,0.0,0.0
458.0,0.14,1.0,0.0002,-0.012,4.0,0.0,0.0
478.0,0.16,0.9,0.0,-0.012,5.0,0.0,0.0
498.0,0.2,0.4,-0.0001,-0.012,5.0,0.0,0.0
518.0,0.22,-4.0,-0.0005,-0.024,-2.0,0.0,0.0
538.0,0.15,-3.8,-0.0006,0.0,-3.0,0.0,0.0
558.0,0.08,1.8,-0.0006,0.0,5.0,0.0,0.0
578.0,0.15,-3.8,-0.0007,0.0,-3.0,0.0,0.0
598.0,0.09,1.1,-0.0007,0.0,4.0,0.0,0.0
618.0,0.15,-1.6,-0.0007,0.0,0.0,0.0,0.0
638.0,0.05,-4.6,-0.0008,0.0,-6.0,0.0,0.0
658.0,0.03,2.0,-0.0007,0.012,5.0,0.0,0.0
678.0,0.08,-5.8,-0.0008,-0.012,-7.0,0.0,0.0
698.0,-0.07,1.1,-0.0007,0.012,1.0,0.0,0.0
718.0,-0.09,1.0,-0.0007,0.0,0.0,0.0,0.0
738.0,-0.1,-3.3,-0.0007,0.0,-7.0,0.0,0.0
758.0,-0.17,1.4,-0.0007,0.0,0.0,0.0,0.0
778.0,-0.13,-1.3,-0.0007,0.0,-4.0,0.0,0.0
798.0,-0.18,0.8,-0.0007,0.0,-1.0,0.0,0.0
818.0,-0.16,0.2,-0.0006,0.0,-2.0,0.0,0.0
838.0,-0.16,0.6,-0.0006,0.0,-1.0,0.0,0.0
858.0,-0.15,1.1,-0.0006,0.0,0.0,0.0,0.0
878.0,-0.13,0.3,-0.0006,0.0,-1.0,0.0,0.0
898.0,-0.11,0.9,-0.0006,0.0,0.0,0.0,0.0
918.0,-0.1,-0.1,-0.0006,0.0,-1.0,0.0,0.0
938.0,-0.07,1.1,-0.0006,0.0,0.0,0.0,0.0
958.0,-0.05,0.1,-0.0006,0.0,0.0,0.0,0.0
978.0,-0.03,0.7,-0.0006,0.0,0.0,0.0,0.0
998.0,-0.02,-0.0,-0.0006,0.0,0.0,0.0,0.0
1018.0,-0.01,0.4,-0.0006,0.0,0.0,0.0,0.0
1038.0,-0.01,-0.1,-0.0006,0.0,0.0,0.0,0.0
1058.0,-0.0,-0.2,-0.0006,0.0,0.0,0.0,0.0
1078.0,0.0,-0.6,-0.0006,0.0,0.0,0.0,0.0
1098.0,-0.0,-0.8,-0.0006,0.0,-1.0,0.0,0.0
1118.0,-0.03,-1.2,-0.0006,0.0,-2.0,0.0,0.0
