t_ms,theta_deg,theta_dot_dps,x_m,x_dot_ms,u_pwm,setpoint_deg,modo
219.0,-0.0,-20.8,-0.0158,-0.024,0.0,0.0,0.0
239.0,-0.36,-19.3,-0.0161,-0.012,-17.0,0.0,0.0
259.0,-0.65,-11.4,-0.0161,0.012,-31.0,0.0,0.0
279.0,-0.7,-2.5,-0.016,0.012,-33.0,0.0,0.0
299.0,-0.74,2.0,-0.0157,0.024,-35.0,0.0,0.0
319.0,-0.57,1.9,-0.0151,0.036,-27.0,0.0,0.0
339.0,-0.65,10.4,-0.0145,0.036,-32.0,0.0,0.0
359.0,-0.28,14.6,-0.014,0.024,-13.0,0.0,0.0
379.0,-0.08,5.3,-0.0134,0.024,-4.0,0.0,0.0
399.0,-0.09,5.2,-0.0128,0.024,-4.0,0.0,0.0
419.0,0.07,7.9,-0.0123,0.024,3.0,0.0,0.0
439.0,0.13,-3.3,-0.0121,0.012,6.0,0.0,0.0
459.0,0.02,-10.0,-0.0122,-0.012,0.0,0.0,0.0
479.0,-0.26,-10.2,-0.0122,0.0,-12.0,0.0,0.0
499.0,-0.43,-3.9,-0.0122,0.0,-21.0,0.0,0.0
519.0,-0.49,-2.9,-0.012,0.012,-24.0,0.0,0.0
539.0,-0.49,5.6,-0.0117,0.012,-24.0,0.0,0.0
559.0,-0.37,6.2,-0.0114,0.012,-18.0,0.0,0.0
579.0,-0.27,6.8,-0.0109,0.024,-14.0,0.0,0.0
599.0,-0.13,8.0,-0.0105,0.024,-7.0,0.0,0.0
619.0,-0.04,5.0,-0.0102,0.024,-2.0,0.0,0.0
639.0,0.04,3.9,-0.0099,0.012,0.0,0.0,0.0
659.0,0.08,1.0,-0.0098,0.0,2.0,0.0,0.0
679.0,0.04,-1.7,-0.0097,0.0,0.0,0.0,0.0
699.0,-0.02,-1.2,-0.0097,0.0,-2.0,0.0,0.0
719.0,-0.07,-1.0,-0.0097,0.0,-4.0,0.0,0.0
739.0,-0.12,1.3,-0.0097,0.0,-6.0,0.0,0.0
759.0,-0.09,3.6,-0.0096,0.0,-5.0,0.0,0.0
779.0,-0.04,4.4,-0.0094,0.012,-3.0,0.0,0.0
799.0,0.03,4.9,-0.0093,0.012,0.0,0.0,0.0
819.0,0.09,1.0,-0.0093,0.0,3.0,0.0,0.0
839.0,0.1,2.8,-0.0093,0.0,3.0,0.0,0.0
859.0,0.13,3.3,-0.0094,-0.012,4.0,0.0,0.0
879.0,0.19,3.7,-0.0096,-0.012,7.0,0.0,0.0
899.0,0.25,5.1,-0.0098,-0.012,10.0,0.0,0.0
919.0,0.34,5.8,-0.01,-0.024,15.0,0.0,0.0
939.0,0.48,5.5,-0.0104,-0.024,22.0,0.0,0.0
959.0,0.49,-6.2,-0.0108,-0.012,23.0,0.0,0.0
979.0,0.35,-13.5,-0.0112,-0.024,16.0,0.0,0.0
999.0,0.12,-8.7,-0.0118,-0.024,5.0,0.0,0.0
1019.0,-0.01,-7.6,-0.0123,-0.024,0.0,0.0,0.0
1039.0,-0.2,-8.2,-0.0127,-0.012,-10.0,0.0,0.0
1059.0,-0.27,0.3,-0.0128,0.0,-13.0,0.0,0.0
1079.0,-0.21,5.0,-0.0128,0.0,-10.0,0.0,0.0
1099.0,-0.08,5.9,-0.0126,0.012,-3.0,0.0,0.0
1119.0,0.07,7.4,-0.0123,0.012,3.0,0.0,0.0
1139.0,0.22,4.3,-0.0123,0.0,10.0,0.0,0.0
1159.0,0.29,3.3,-0.0124,0.0,14.0,0.0,0.0
1179.0,0.37,4.2,-0.0127,-0.012,18.0,0.0,0.0
1199.0,0.58,2.6,-0.013,-0.012,29.0,0.0,0.0
1219.0,0.5,-11.9,-0.0135,-0.024,24.0,0.0,0.0
1239.0,0.17,-19.6,-0.014,-0.024,8.0,0.0,0.0
1259.0,-0.18,-16.6,-0.0146,-0.024,-8.0,0.0,0.0
1279.0,-0.41,-7.1,-0.0148,-0.012,-19.0,0.0,0.0
1299.0,-0.5,-0.4,-0.0148,0.0,-24.0,0.0,0.0
1319.0,-0.41,1.6,-0.0146,0.012,-19.0,0.0,0.0
1339.0,-0.44,-5.0,-0.0142,0.024,-21.0,0.0,0.0
1359.0,-0.46,6.3,-0.0139,0.024,-21.0,0.0,0.0
1379.0,-0.26,12.9,-0.0135,0.012,-11.0,0.0,0.0
1399.0,0.01,7.5,-0.013,0.024,1.0,0.0,0.0
1419.0,0.19,8.0,-0.0127,0.012,9.0,0.0,0.0
1439.0,0.22,-8.7,-0.0127,0.0,11.0,0.0,0.0
1459.0,0.03,-8.8,-0.0128,-0.012,1.0,0.0,0.0
1479.0,-0.12,-5.2,-0.0129,0.0,-5.0,0.0,0.0
1499.0,-0.2,-4.5,-0.0129,0.0,-9.0,0.0,0.0
1519.0,-0.32,-4.5,-0.0128,0.012,-15.0,0.0,0.0
