t_ms,theta_deg,theta_dot_dps,x_m,x_dot_ms,u_pwm,setpoint_deg,modo
212.0,-0.63,-3.1,0.0006,0.024,-28.0,0.0,0.0
232.0,-0.77,-1.0,0.0011,0.024,-37.0,0.0,0.0
252.0,-0.68,12.7,0.0017,0.024,-11.0,0.0,0.0
272.0,-0.51,4.1,0.0022,0.024,0.0,0.0,0.0
292.0,-0.6,2.2,0.0026,0.012,-22.0,0.0,0.0
312.0,-0.57,7.4,0.0031,0.024,-14.0,0.0,0.0
332.0,-0.52,5.1,0.0036,0.024,-12.0,0.0,0.0
352.0,-0.49,6.6,0.0039,0.012,-12.0,0.0,0.0
372.0,-0.39,7.7,0.0044,0.024,-4.0,0.0,0.0
392.0,-0.3,6.3,0.0047,0.012,-1.0,0.0,0.0
412.0,-0.24,4.7,0.0049,0.012,-2.0,0.0,0.0
432.0,-0.2,1.0,0.005,0.0,-2.0,0.0,0.0
452.0,-0.26,-0.9,0.005,0.0,-13.0,0.0,0.0
472.0,-0.3,4.6,0.0051,0.012,-12.0,0.0,0.0
492.0,-0.2,6.8,0.0053,0.012,1.0,0.0,0.0
512.0,-0.1,3.3,0.0053,0.0,4.0,0.0,0.0
532.0,-0.08,1.0,0.0053,0.0,0.0,0.0,0.0
552.0,-0.08,4.4,0.0051,-0.012,-1.0,0.0,0.0
572.0,0.03,5.7,0.0051,0.0,9.0,0.0,0.0
592.0,0.13,5.7,0.005,0.0,12.0,0.0,0.0
612.0,0.24,6.3,0.0048,-0.012,17.0,0.0,0.0
632.0,0.35,5.9,0.0044,-0.024,20.0,0.0,0.0
652.0,0.57,3.4,0.0039,-0.024,34.0,0.0,0.0
672.0,0.57,-16.8,0.0035,-0.024,17.0,0.0,0.0
692.0,0.17,-17.8,0.0029,-0.036,-28.0,0.0,0.0
712.0,0.0,-5.3,0.0027,0.0,-17.0,0.0,0.0
732.0,-0.06,4.4,0.0027,0.0,-7.0,0.0,0.0
752.0,0.18,6.9,0.003,0.0,25.0,0.0,0.0
772.0,0.27,-0.6,0.0029,-0.012,18.0,0.0,0.0
792.0,0.31,1.9,0.0026,-0.024,14.0,0.0,0.0
812.0,0.37,-0.0,0.0023,-0.024,17.0,0.0,0.0
