t_ms,theta_deg,theta_dot_dps,x_m,x_dot_ms,u_pwm,setpoint_deg,modo
212.0,0.23,9.2,-0.2322,-0.012,8.0,0.0,0.0
232.0,0.45,9.4,-0.2324,-0.012,10.0,0.0,0.0
252.0,0.69,9.1,-0.2327,-0.012,13.0,0.0,0.0
272.0,1.04,4.3,-0.2331,-0.012,18.0,0.0,0.0
292.0,1.06,-10.3,-0.2334,-0.024,13.0,0.0,0.0
312.0,0.88,-10.4,-0.2339,-0.024,5.0,0.0,0.0
332.0,0.81,-10.7,-0.2343,-0.012,4.0,0.0,0.0
352.0,0.61,-13.5,-0.2347,-0.024,0.0,0.0,0.0
372.0,0.48,-9.0,-0.235,-0.012,0.0,0.0,0.0
392.0,0.34,-11.1,-0.2351,-0.012,-1.0,0.0,0.0
412.0,0.17,-8.5,-0.2352,0.0,-3.0,0.0,0.0
432.0,0.06,-6.3,-0.2351,0.0,-3.0,0.0,0.0
452.0,-0.07,-10.1,-0.235,0.012,-4.0,0.0,0.0
472.0,-0.3,-10.3,-0.2349,0.0,-8.0,0.0,0.0
492.0,-0.48,-9.7,-0.2346,0.012,-9.0,0.0,0.0
512.0,-0.71,-11.0,-0.2344,0.012,-12.0,0.0,0.0
532.0,-0.92,-8.2,-0.234,0.024,-14.0,0.0,0.0
552.0,-1.09,-1.1,-0.2338,0.012,-15.0,0.0,0.0
572.0,-1.12,3.2,-0.2334,0.024,-12.0,0.0,0.0
592.0,-1.11,2.1,-0.2331,0.024,-10.0,0.0,0.0
612.0,-1.13,4.2,-0.2328,0.012,-10.0,0.0,0.0
632.0,-1.1,5.1,-0.2325,0.012,-9.0,0.0,0.0
652.0,-1.06,6.7,-0.2322,0.012,-8.0,0.0,0.0
672.0,-0.99,7.3,-0.232,0.012,-7.0,0.0,0.0
692.0,-0.91,8.8,-0.2318,0.012,-5.0,0.0,0.0
712.0,-0.79,9.6,-0.2315,0.012,-3.0,0.0,0.0
732.0,-0.65,10.2,-0.2314,0.012,-2.0,0.0,0.0
752.0,-0.5,7.6,-0.2313,0.012,0.0,0.0,0.0
772.0,-0.4,7.0,-0.2313,0.0,0.0,0.0,0.0
792.0,-0.26,10.2,-0.2313,0.0,1.0,0.0,0.0
812.0,-0.07,9.5,-0.2313,0.0,4.0,0.0,0.0
832.0,0.14,9.3,-0.2313,0.0,7.0,0.0,0.0
852.0,0.33,8.7,-0.2314,0.0,8.0,0.0,0.0
872.0,0.55,9.1,-0.2316,-0.012,11.0,0.0,0.0
892.0,0.77,8.6,-0.2319,-0.012,13.0,0.0,0.0
912.0,0.98,6.6,-0.2322,-0.012,15.0,0.0,0.0
932.0,1.07,-7.2,-0.2326,-0.012,13.0,0.0,0.0
952.0,0.94,-12.0,-0.2331,-0.024,7.0,0.0,0.0
972.0,0.82,-9.7,-0.2334,-0.012,4.0,0.0,0.0
992.0,0.65,-14.6,-0.2339,-0.024,1.0,0.0,0.0
1012.0,0.43,-12.4,-0.2342,-0.012,-2.0,0.0,0.0
1032.0,0.26,-11.2,-0.2344,-0.012,-3.0,0.0,0.0
1052.0,0.08,-7.6,-0.2344,0.0,-4.0,0.0,0.0
1072.0,-0.03,-5.9,-0.2343,0.0,-4.0,0.0,0.0
1092.0,-0.17,-10.0,-0.2342,0.012,-5.0,0.0,0.0
1112.0,-0.39,-8.6,-0.234,0.012,-9.0,0.0,0.0
1132.0,-0.57,-8.6,-0.2339,0.0,-10.0,0.0,0.0
1152.0,-0.79,-8.6,-0.2336,0.012,-13.0,0.0,0.0
1172.0,-0.97,-6.4,-0.2333,0.012,-14.0,0.0,0.0
1192.0,-1.1,5.3,-0.233,0.012,-14.0,0.0,0.0
1212.0,-0.98,6.7,-0.2326,0.024,-8.0,0.0,0.0
1232.0,-1.0,5.1,-0.2322,0.024,-8.0,0.0,0.0
1252.0,-0.91,10.8,-0.232,0.012,-6.0,0.0,0.0
1272.0,-0.8,8.5,-0.2318,0.012,-4.0,0.0,0.0
1292.0,-0.67,12.2,-0.2315,0.012,-2.0,0.0,0.0
1312.0,-0.47,9.4,-0.2314,0.012,0.0,0.0,0.0
1332.0,-0.35,6.5,-0.2314,0.0,1.0,0.0,0.0
1353.0,-0.22,8.6,-0.2314,0.0,1.0,0.0,0.0
1373.0,-0.04,7.6,-0.2315,-0.012,4.0,0.0,0.0
1393.0,0.13,5.8,-0.2316,-0.012,6.0,0.0,0.0
1413.0,0.29,7.0,-0.2318,-0.012,7.0,0.0,0.0
1433.0,0.48,6.5,-0.232,-0.012,9.0,0.0,0.0
1453.0,0.66,5.0,-0.2322,-0.012,11.0,0.0,0.0
1473.0,0.78,-1.7,-0.2326,-0.012,11.0,0.0,0.0
1493.0,0.7,-9.3,-0.233,-0.024,6.0,0.0,0.0
1513.0,0.59,-11.1,-0.2333,-0.012,3.0,0.0,0.0
1533.0,0.43,-12.1,-0.2336,-0.012,0.0,0.0,0.0
1553.0,0.24,-10.7,-0.2339,-0.012,-3.0,0.0,0.0
1573.0,0.1,-5.0,-0.2339,0.0,-3.0,0.0,0.0
1593.0,0.07,-3.8,-0.2339,0.0,-1.0,0.0,0.0
1613.0,-0.03,-9.4,-0.2338,0.0,-2.0,0.0,0.0
1633.0,-0.22,-6.4,-0.2338,0.0,-6.0,0.0,0.0
1653.0,-0.37,-7.8,-0.2337,0.0,-7.0,0.0,0.0
1673.0,-0.56,-6.9,-0.2336,0.0,-10.0,0.0,0.0
1693.0,-0.72,-5.3,-0.2333,0.012,-11.0,0.0,0.0
1713.0,-0.88,-5.2,-0.2331,0.012,-12.0,0.0,0.0
1733.0,-0.97,2.0,-0.2327,0.024,-12.0,0.0,0.0
1753.0,-0.98,5.2,-0.2325,0.012,-10.0,0.0,0.0
1773.0,-0.95,9.5,-0.2321,0.024,-8.0,0.0,0.0
1793.0,-0.81,11.7,-0.2319,0.012,-4.0,0.0,0.0
1813.0,-0.66,9.9,-0.2316,0.012,-1.0,0.0,0.0
1833.0,-0.51,9.1,-0.2315,0.0,0.0,0.0,0.0
1853.0,-0.38,7.1,-0.2315,0.0,0.0,0.0,0.0
1873.0,-0.26,8.8,-0.2315,0.0,1.0,0.0,0.0
1893.0,-0.05,10.1,-0.2315,0.0,4.0,0.0,0.0
1913.0,0.15,7.7,-0.2315,0.0,7.0,0.0,0.0
1933.0,0.35,8.5,-0.2316,0.0,9.0,0.0,0.0
1953.0,0.56,8.6,-0.2319,-0.012,11.0,0.0,0.0
1973.0,0.78,7.2,-0.2322,-0.024,13.0,0.0,0.0
1993.0,1.07,3.4,-0.2326,-0.024,17.0,0.0,0.0
2013.0,1.07,-9.8,-0.233,-0.024,12.0,0.0,0.0
2033.0,0.89,-12.9,-0.2334,-0.024,5.0,0.0,0.0
2053.0,0.75,-13.0,-0.2338,-0.024,2.0,0.0,0.0
2073.0,0.54,-14.6,-0.234,-0.012,0.0,0.0,0.0
2093.0,0.37,-10.6,-0.2343,0.0,-2.0,0.0,0.0
2113.0,0.19,-12.9,-0.2344,0.0,-3.0,0.0,0.0
2133.0,-0.01,-7.2,-0.2344,0.0,-5.0,0.0,0.0
2153.0,-0.13,-10.6,-0.2343,0.012,-5.0,0.0,0.0
2173.0,-0.41,-12.9,-0.2342,0.012,-10.0,0.0,0.0
2193.0,-0.66,-9.6,-0.2339,0.012,-13.0,0.0,0.0
2213.0,-0.91,-11.8,-0.2337,0.012,-15.0,0.0,0.0
2233.0,-1.21,-6.4,-0.2333,0.024,-19.0,0.0,0.0
2253.0,-1.29,5.8,-0.233,0.012,-16.0,0.0,0.0
2273.0,-1.26,5.1,-0.2326,0.012,-12.0,0.0,0.0
2293.0,-1.26,8.4,-0.2322,0.012,-11.0,0.0,0.0
2313.0,-1.19,10.9,-0.2319,0.024,-9.0,0.0,0.0
2333.0,-1.06,12.2,-0.2316,0.012,-6.0,0.0,0.0
2353.0,-0.91,15.0,-0.2314,0.012,-4.0,0.0,0.0
2373.0,-0.69,15.3,-0.2312,0.012,0.0,0.0,0.0
2393.0,-0.43,14.2,-0.231,0.0,3.0,0.0,0.0
2413.0,-0.17,10.9,-0.2312,-0.012,5.0,0.0,0.0
2433.0,0.06,11.3,-0.2313,-0.012,7.0,0.0,0.0
