t_ms,theta_deg,theta_dot_dps,x_m,x_dot_ms,u_pwm,setpoint_deg,modo
211.0,-0.14,2.2,-0.0088,0.0,-4.0,0.0,0.0
231.0,-0.08,1.1,-0.0086,0.012,-3.0,0.0,0.0
251.0,-0.11,-1.0,-0.0085,0.012,-8.0,0.0,0.0
271.0,-0.12,2.1,-0.0084,0.012,-3.0,0.0,0.0
291.0,-0.09,0.9,-0.0082,0.0,-3.0,0.0,0.0
311.0,-0.11,-0.1,-0.0081,0.0,-6.0,0.0,0.0
331.0,-0.1,3.6,-0.008,0.0,0.0,0.0,0.0
351.0,-0.05,0.1,-0.0079,0.0,-2.0,0.0,0.0
371.0,-0.09,-1.6,-0.0079,0.0,-7.0,0.0,0.0
391.0,-0.1,3.4,-0.0079,0.0,0.0,0.0,0.0
411.0,-0.05,-0.4,-0.0079,0.0,-3.0,0.0,0.0
431.0,-0.1,0.8,-0.0079,0.0,-4.0,0.0,0.0
451.0,-0.07,2.9,-0.0078,0.0,0.0,0.0,0.0
471.0,-0.05,-0.4,-0.0078,0.0,-3.0,0.0,0.0
491.0,-0.04,4.2,-0.0078,0.0,5.0,0.0,0.0
511.0,0.02,1.2,-0.0079,-0.012,3.0,0.0,0.0
531.0,0.06,2.7,-0.008,-0.012,8.0,0.0,0.0
551.0,0.12,3.4,-0.0082,-0.012,13.0,0.0,0.0
571.0,0.18,3.7,-0.0085,-0.024,17.0,0.0,0.0
591.0,0.22,-0.2,-0.0088,-0.024,13.0,0.0,0.0
611.0,0.21,-7.9,-0.0092,-0.012,-1.0,0.0,0.0
631.0,0.02,-10.3,-0.0096,-0.012,-16.0,0.0,0.0
651.0,-0.02,4.6,-0.0097,-0.012,6.0,0.0,0.0
671.0,0.08,5.5,-0.0097,0.0,14.0,0.0,0.0
691.0,0.17,-6.5,-0.0098,-0.012,-1.0,0.0,0.0
711.0,0.04,-1.9,-0.0099,-0.012,0.0,0.0,0.0
731.0,0.1,4.2,-0.0099,0.0,12.0,0.0,0.0
751.0,0.16,-7.2,-0.01,-0.012,-2.0,0.0,0.0
771.0,0.01,-1.8,-0.0102,-0.012,-2.0,0.0,0.0
791.0,0.07,1.8,-0.0102,0.0,7.0,0.0,0.0
811.0,0.07,-7.4,-0.0102,0.0,-8.0,0.0,0.0
831.0,-0.02,1.3,-0.0102,0.0,1.0,0.0,0.0
851.0,0.05,-1.2,-0.01,0.0,0.0,0.0,0.0
871.0,0.01,-4.9,-0.01,0.0,-7.0,0.0,0.0
891.0,-0.06,-3.8,-0.01,0.0,-9.0,0.0,0.0
911.0,-0.13,-4.8,-0.0099,0.012,-15.0,0.0,0.0
931.0,-0.21,-5.9,-0.0097,0.012,-22.0,0.0,0.0
951.0,-0.32,-5.3,-0.0093,0.024,-27.0,0.0,0.0
971.0,-0.45,-0.9,-0.009,0.024,-28.0,0.0,0.0
991.0,-0.38,10.5,-0.0085,0.024,-4.0,0.0,0.0
1011.0,-0.16,8.5,-0.008,0.024,5.0,0.0,0.0
1031.0,-0.08,3.0,-0.0078,0.012,0.0,0.0,0.0
1051.0,-0.06,-6.0,-0.0076,0.012,-13.0,0.0,0.0
1071.0,-0.27,-0.8,-0.0075,0.012,-17.0,0.0,0.0
