t_ms,pwm,enc_izq,enc_der
7.0,80.0,0.0,0.0
17.0,80.0,1.0,1.0
27.0,80.0,4.0,3.0
37.0,80.0,8.0,7.0
47.0,80.0,14.0,11.0
57.0,80.0,20.0,17.0
67.0,80.0,28.0,24.0
77.0,80.0,36.0,31.0
87.0,80.0,44.0,38.0
97.0,80.0,53.0,47.0
107.0,80.0,62.0,55.0
117.0,80.0,72.0,64.0
127.0,80.0,82.0,73.0
137.0,80.0,92.0,83.0
147.0,80.0,103.0,92.0
157.0,80.0,113.0,102.0
167.0,80.0,124.0,112.0
177.0,80.0,135.0,122.0
187.0,80.0,146.0,133.0
197.0,80.0,157.0,143.0
207.0,80.0,168.0,153.0
217.0,80.0,179.0,164.0
227.0,80.0,191.0,175.0
237.0,80.0,202.0,185.0
247.0,80.0,214.0,196.0
257.0,80.0,225.0,207.0
267.0,80.0,237.0,218.0
277.0,80.0,248.0,229.0
287.0,80.0,260.0,239.0
297.0,80.0,271.0,250.0
307.0,80.0,283.0,261.0
317.0,80.0,294.0,272.0
327.0,80.0,306.0,283.0
337.0,80.0,318.0,294.0
347.0,80.0,329.0,306.0
357.0,80.0,341.0,317.0
367.0,80.0,353.0,328.0
377.0,80.0,365.0,339.0
387.0,80.0,376.0,350.0
397.0,80.0,388.0,361.0
407.0,80.0,400.0,372.0
417.0,80.0,411.0,383.0
427.0,80.0,423.0,394.0
437.0,80.0,435.0,406.0
447.0,80.0,447.0,417.0
457.0,80.0,459.0,428.0
467.0,80.0,470.0,439.0
477.0,80.0,482.0,450.0
487.0,80.0,494.0,461.0
497.0,80.0,506.0,473.0
507.0,80.0,517.0,484.0
517.0,80.0,529.0,495.0
527.0,80.0,541.0,506.0
537.0,80.0,553.0,517.0
547.0,80.0,565.0,529.0
557.0,80.0,577.0,540.0
567.0,80.0,588.0,551.0
577.0,80.0,600.0,562.0
587.0,80.0,612.0,573.0
597.0,80.0,624.0,585.0
607.0,80.0,635.0,596.0
617.0,80.0,647.0,607.0
627.0,80.0,659.0,618.0
637.0,80.0,671.0,629.0
647.0,80.0,683.0,641.0
657.0,80.0,694.0,652.0
667.0,80.0,706.0,663.0
677.0,80.0,718.0,674.0
687.0,80.0,730.0,686.0
697.0,80.0,742.0,697.0
707.0,80.0,753.0,708.0
