t_ms,pwm,enc_izq,enc_der
5.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
105.0,0.0,0.0,0.0
115.0,0.0,0.0,0.0
125.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0
145.0,0.0,0.0,0.0
155.0,0.0,0.0,0.0
165.0,0.0,0.0,0.0
175.0,0.0,0.0,0.0
185.0,0.0,0.0,0.0
195.0,0.0,0.0,0.0
205.0,120.0,0.0,0.0
215.0,120.0,2.0,1.0
225.0,120.0,7.0,5.0
235.0,120.0,15.0,11.0
245.0,120.0,25.0,19.0
255.0,120.0,36.0,29.0
265.0,120.0,49.0,40.0
275.0,120.0,63.0,52.0
285.0,120.0,77.0,65.0
295.0,120.0,93.0,79.0
305.0,120.0,108.0,94.0
315.0,120.0,125.0,109.0
325.0,120.0,142.0,125.0
335.0,120.0,159.0,142.0
345.0,120.0,177.0,158.0
355.0,120.0,194.0,176.0
365.0,120.0,212.0,193.0
375.0,120.0,231.0,211.0
385.0,120.0,249.0,229.0
395.0,120.0,267.0,247.0
405.0,120.0,286.0,265.0
415.0,120.0,305.0,283.0
425.0,120.0,324.0,302.0
435.0,120.0,343.0,321.0
445.0,120.0,362.0,339.0
455.0,120.0,381.0,358.0
465.0,120.0,400.0,377.0
475.0,120.0,419.0,396.0
485.0,120.0,438.0,415.0
495.0,120.0,457.0,434.0
505.0,120.0,477.0,453.0
515.0,120.0,496.0,472.0
525.0,120.0,515.0,491.0
535.0,120.0,535.0,511.0
545.0,120.0,554.0,530.0
555.0,120.0,573.0,549.0
565.0,120.0,593.0,568.0
575.0,120.0,612.0,588.0
585.0,120.0,632.0,607.0
595.0,120.0,651.0,626.0
605.0,120.0,670.0,646.0
615.0,120.0,690.0,665.0
625.0,120.0,709.0,685.0
