t_ms,gy_dps,ang_acc_deg
5.0,-102.1832,176.6091
15.0,-106.4122,176.787
25.0,-108.8779,176.8595
35.0,-109.0687,176.5058
45.0,-110.9313,176.5994
55.0,-113.5115,176.0097
65.0,-113.0534,176.0588
75.0,-112.2748,176.2692
85.0,-110.9084,176.3428
95.0,-108.8397,176.5086
105.0,-108.2977,176.4837
115.0,-104.3664,176.0157
125.0,-101.8092,175.7335
135.0,-97.3893,175.7763
145.0,-92.5802,175.8565
155.0,-87.6718,175.6573
165.0,-81.7481,175.6065
175.0,-75.9008,175.4694
185.0,-69.1832,175.7938
195.0,-62.3664,175.4266
205.0,-55.4046,175.459
215.0,-47.6031,175.2305
225.0,-39.7328,175.5917
235.0,-31.7252,175.3577
245.0,-23.5725,175.0197
255.0,-15.4351,175.3851
265.0,-6.8702,175.4131
275.0,1.1908,175.3717
285.0,9.855,175.5539
295.0,18.1221,175.2723
305.0,26.0458,175.8388
315.0,33.8473,175.9538
325.0,41.5878,176.1794
335.0,49.2366,176.1543
345.0,56.1145,176.305
355.0,62.6947,176.2414
365.0,68.8931,176.4478
375.0,74.687,176.8813
385.0,79.9618,176.6383
395.0,85.3511,177.2813
405.0,89.542,177.2863
415.0,93.4733,176.8313
425.0,97.1298,177.1053
435.0,100.2901,177.1255
445.0,102.2519,176.8552
455.0,104.3893,176.9173
465.0,105.2977,177.0467
475.0,106.2443,177.6249
485.0,106.2137,177.333
495.0,105.8092,176.9007
505.0,104.374,176.6567
515.0,102.6336,176.9936
525.0,100.9084,177.4332
535.0,98.3359,176.8772
545.0,94.229,176.1772
555.0,90.6947,177.2692
565.0,85.7786,177.7529
575.0,81.9618,177.8898
585.0,76.5038,177.9364
595.0,70.8015,177.0432
605.0,64.6718,177.7679
615.0,58.2366,177.4568
625.0,51.2366,177.5402
635.0,44.0916,177.7122
645.0,36.5344,178.0587
655.0,29.0687,177.5294
665.0,21.4733,177.7714
675.0,13.9237,177.6795
685.0,5.9542,177.2625
695.0,-1.9008,177.4984
705.0,-9.6336,177.1727
715.0,-17.4351,177.3221
725.0,-24.9924,176.8642
735.0,-32.2672,176.8306
745.0,-39.5191,176.7576
755.0,-46.4733,176.5107
765.0,-52.7557,176.6086
775.0,-59.1145,176.5438
785.0,-64.6107,175.9686
795.0,-70.1145,176.3041
805.0,-75.1527,176.8148
815.0,-79.8321,176.8224
825.0,-84.2595,176.6728
835.0,-87.8321,176.293
845.0,-91.229,176.6971
855.0,-93.7252,176.443
865.0,-96.0076,176.4054
875.0,-97.8168,176.6273
885.0,-98.916,176.3767
895.0,-99.6489,176.3557
905.0,-98.7786,176.154
915.0,-98.8626,176.5593
925.0,-97.2748,176.2496
935.0,-95.2977,176.2292
945.0,-93.1908,175.827
955.0,-90.0076,175.8138
965.0,-86.9084,176.092
975.0,-82.916,176.3296
985.0,-78.626,175.9929
995.0,-73.687,176.09
1005.0,-68.7252,175.5453
1015.0,-63.2901,175.5243
1025.0,-57.1145,175.5665
1035.0,-50.8779,175.4205
1045.0,-44.6183,175.7
1055.0,-37.9542,175.402
1065.0,-31.2214,175.3744
1075.0,-23.9237,175.514
1085.0,-16.771,175.3509
1095.0,-9.626,175.7014
1105.0,-2.0458,175.4849
1115.0,5.0305,175.5709
1125.0,12.1832,175.7477
1135.0,19.458,175.7258
1145.0,26.5725,175.998
1155.0,33.458,176.1758
1165.0,40.0687,176.3633
1175.0,46.229,176.0907
1185.0,52.3511,176.5468
1195.0,58.0,176.3959
1205.0,63.1298,176.7027
1215.0,68.2824,176.4013
1225.0,72.2977,176.9627
1235.0,76.4351,176.3308
1245.0,80.6031,176.7508
1255.0,83.2748,177.196
1265.0,86.3817,177.2399
1275.0,88.3435,177.2596
1285.0,90.2137,176.77
1295.0,91.3511,176.7337
1305.0,92.4733,176.8846
1315.0,92.5954,177.4654
1325.0,92.4122,176.9998
1335.0,91.5343,177.3292
1345.0,90.7023,177.4189
1355.0,88.2519,177.188
1365.0,86.4351,177.1356
1375.0,83.5343,177.1709
1385.0,80.3969,177.4713
1395.0,76.8855,177.1217
1405.0,72.7481,177.4771
1415.0,67.6489,177.5569
1425.0,63.5802,177.1952
1435.0,58.1985,177.7699
1445.0,52.6794,177.5399
1455.0,46.6412,177.2967
1465.0,40.5115,177.4993
1475.0,34.084,177.5253
1485.0,27.6336,177.4653
1495.0,20.8244,177.5136
1505.0,14.0458,177.4514
1515.0,7.1603,177.5972
1525.0,0.2061,177.2056
1535.0,-6.771,177.5769
1545.0,-13.0076,177.3138
1555.0,-19.9313,177.0632
1565.0,-26.542,176.6506
1575.0,-32.8015,177.1636
1585.0,-39.0229,177.1702
1595.0,-44.6489,176.5531
1605.0,-50.1374,176.7548
1615.0,-55.4427,176.8179
1625.0,-60.0687,176.4444
1635.0,-64.3206,176.9586
1645.0,-68.4198,177.0522
1655.0,-71.8931,176.7338
1665.0,-75.2061,176.3528
1675.0,-78.229,176.3588
1685.0,-80.7481,176.24
1695.0,-82.626,176.24
1705.0,-84.2901,176.0709
1715.0,-85.2061,176.3867
1725.0,-85.6641,176.3969
1735.0,-85.3282,176.1059
1745.0,-84.8244,175.7774
1755.0,-83.8779,176.6343
1765.0,-82.458,176.3314
1775.0,-80.6336,176.2203
1785.0,-78.0458,176.1013
1795.0,-75.3053,176.6082
1805.0,-71.9466,175.9578
1815.0,-68.0763,176.0081
1825.0,-64.1756,175.5019
1835.0,-59.7557,175.5619
1845.0,-55.0153,175.3575
1855.0,-49.9008,175.579
1865.0,-44.6183,175.759
1875.0,-38.9847,175.3961
1885.0,-33.2672,175.0961
1895.0,-27.4046,175.4393
1905.0,-21.0687,175.5605
1915.0,-14.6412,175.542
1925.0,-8.5267,175.6221
1935.0,-2.1756,175.2799
1945.0,4.0992,175.5745
1955.0,10.6031,175.8499
1965.0,16.626,175.5872
1975.0,22.7863,175.7961
1985.0,28.8015,175.759
1995.0,34.458,176.1163
2005.0,39.6641,176.5016
2015.0,44.9618,176.4875
2025.0,50.0305,176.2099
2035.0,54.4885,176.5149
2045.0,58.4809,176.6992
2055.0,62.5115,176.6327
2065.0,65.8397,176.9535
2075.0,68.4122,177.5745
2085.0,71.5038,177.1167
2095.0,73.7328,177.4263
2105.0,75.5878,177.2859
2115.0,77.0458,177.1216
2125.0,77.8397,177.7611
2135.0,78.9924,177.5599
2145.0,78.9389,177.2036
2155.0,78.6565,176.8179
2165.0,78.229,177.1491
2175.0,77.0076,177.3008
2185.0,75.2443,177.4186
2195.0,73.2519,177.4941
2205.0,71.2595,177.1179
2215.0,68.374,177.29
2225.0,65.1145,177.3513
2235.0,61.7405,177.4338
2245.0,58.1374,177.1719
2255.0,53.7557,177.1876
2265.0,49.145,177.2837
2275.0,44.916,176.752
2285.0,39.4351,176.6034
2295.0,33.9542,177.5342
2305.0,29.1527,177.5266
2315.0,22.9618,177.1667
2325.0,17.5191,177.5392
2335.0,11.7786,177.4775
2345.0,6.0687,177.0892
2355.0,-0.2824,177.3677
2365.0,-6.0,177.3839
2375.0,-11.7481,177.2512
2385.0,-17.2366,176.7819
2395.0,-22.6107,177.1819
2405.0,-27.9695,176.7484
2415.0,-33.0916,176.5735
2425.0,-38.0458,176.5479
2435.0,-42.3053,176.5984
2445.0,-46.9771,176.9044
2455.0,-51.1985,176.3176
2465.0,-54.5115,176.314
2475.0,-57.8015,176.2795
2485.0,-60.8168,176.1166
2495.0,-63.6718,176.5376
2505.0,-66.1145,176.3588
2515.0,-67.7405,176.0511
2525.0,-69.8092,176.2404
2535.0,-70.5115,176.0091
2545.0,-71.2366,175.9925
2555.0,-71.5573,176.1624
2565.0,-71.2595,176.052
2575.0,-71.2977,175.6488
2585.0,-70.1069,175.6393
2595.0,-69.0687,175.926
2605.0,-67.0687,175.9746
2615.0,-65.0687,176.4461
2625.0,-62.6412,175.8216
2635.0,-60.0763,175.5154
2645.0,-56.8397,175.4096
2655.0,-53.4427,175.4306
2665.0,-49.374,175.7383
2675.0,-45.7557,175.6617
2685.0,-41.3359,175.6182
2695.0,-37.0153,175.7576
2705.0,-32.0534,176.0376
2715.0,-27.0382,175.6876
2725.0,-21.9237,175.7631
2735.0,-16.8626,175.6354
2745.0,-11.4351,175.5104
2755.0,-6.374,175.46
2765.0,-1.2901,175.3771
2775.0,4.3969,175.7579
2785.0,9.4198,175.8151
2795.0,14.8855,175.7725
2805.0,19.7939,175.8459
2815.0,24.5725,176.2302
2825.0,29.3053,176.3436
2835.0,33.7099,176.4446
2845.0,38.0076,176.2263
